complaint_id,category,priority,reason,flag
AM-202401,Heat Hazard,Standard,"Cited '44°C', 'melting' in description so category Heat Hazard with priority Standard.",
AM-202402,Heat Hazard,Standard,Cited 'temperatur' in description so category Heat Hazard with priority Standard.,
AM-202405,Other,Standard,No specific category keywords matched clearly in 'Dead trees with split branches.,NEEDS_REVIEW
AM-202406,Heat Hazard,Standard,Cited 'heatwave' in description so category Heat Hazard with priority Standard.,
AM-202407,Road Damage,Urgent,"Cited 'Broken', 'upturned', 'paving' in description so category Road Damage with priority Urgent.",
AM-202410,Pothole,Standard,Cited 'Pothole' in description so category Pothole with priority Standard.,
AM-202414,Streetlight,Standard,"Cited 'unlit', 'Wiring theft' in description so category Streetlight with priority Standard.",
AM-202417,Waste,Standard,"Cited 'waste', 'not cleared' in description so category Waste with priority Standard.",
AM-202421,Noise,Standard,"Cited 'music', 'audible', 'Club' in description so category Noise with priority Standard.",
AM-202424,Heat Hazard,Standard,Cited '45°C' in description so category Heat Hazard with priority Standard.,
AM-202429,Heat Hazard,Standard,"Cited 'temperatur', '52°C', 'unbearable' in description so category Heat Hazard with priority Standard.",
AM-202431,Heritage Damage,Standard,"Cited 'Heritage', 'step well', 'Old city', 'ancient' in description so category Heritage Damage with priority Standard.",
AM-202435,Heat Hazard,Standard,"Cited 'heat', 'burns', 'storing heat' in description so category Heat Hazard with priority Standard.",
AM-202444,Waste,Standard,"Cited 'waste', 'overflow' in description so category Waste with priority Standard.",
AM-202445,Other,Standard,No specific category keywords matched clearly in 'BRT shelter roof glass broken.,NEEDS_REVIEW
