complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,Cited 'flood' in description so category Flooding with priority Urgent.,
GH-202402,Drain Blockage,Standard,"Cited 'Drain', 'blocked' in description so category Drain Blockage with priority Standard.",
GH-202406,Drain Blockage,Standard,"Cited 'drain', 'blocked' in description so category Drain Blockage with priority Standard.",
GH-202407,Drain Blockage,Standard,"Cited 'Drain', 'blocked' in description so category Drain Blockage with priority Standard.",
GH-202410,Pothole,Standard,Cited 'Pothole' in description so category Pothole with priority Standard.,
GH-202411,Pothole,Urgent,Cited 'Pothole' in description so category Pothole with priority Urgent.,
GH-202412,Pothole,Urgent,Cited 'pothole' in description so category Pothole with priority Urgent.,
GH-202417,Waste,Standard,"Cited 'waste', 'garbage', 'overflow' in description so category Waste with priority Standard.",
GH-202420,Noise,Standard,Cited 'drilling' in description so category Noise with priority Standard.,
GH-202422,Road Damage,Urgent,"Cited 'collapsed', 'Crater' in description so category Road Damage with priority Urgent.",
GH-202424,Flooding,Standard,"Cited 'flood', 'abandoned' in description so category Flooding with priority Standard.",
GH-202428,Waste,Standard,"Cited 'waste', 'not cleared' in description so category Waste with priority Standard.",
GH-202432,Noise,Standard,"Cited 'idling', 'engines' in description so category Noise with priority Standard.",
GH-202448,Drain Blockage,Standard,"Cited 'drain', 'blocked' in description so category Drain Blockage with priority Standard.",
GH-202438,Flooding,Standard,Cited 'rainwater' in description so category Flooding with priority Standard.,
